world,policy,eval_seed,sensor_noise_std,steps,population_size,mean_fitness,best_fitness,mean_food_hits,mean_toxin_hits,survival_rate,cue_action_coverage,oracle_action_agreement,mean_action_magnitude
simple,fixed_motor_argmax,47,0.15,480,10000,1.4852999448776245,16.0,7.693899631500244,6.208600044250488,0.7175999879837036,0.057932632762283415,0.30972827572318357,0.05888783203125
simple,base_adapter,47,0.15,480,10000,2.238800048828125,40.0,43.07279968261719,40.83399963378906,0.6406999826431274,1.0,0.607091875,1.0
simple,augmented_adapter,47,0.15,480,10000,2.049299955368042,42.0,36.09469985961914,34.0453987121582,0.6488999724388123,1.0,0.6156904166666667,1.0
moving_toxins,fixed_motor_argmax,43,0.0,480,10000,-10.535900115966797,20.0,30.965499877929688,41.501399993896484,0.10279999673366547,0.07669854166666666,0.3321635298367798,0.07786054036458333
moving_toxins,base_adapter,43,0.0,480,10000,1.5203999280929565,41.0,25.099899291992188,23.579500198364258,0.6434000134468079,1.0,0.6552460416666667,1.0
moving_toxins,augmented_adapter,43,0.0,480,10000,1.7305999994277954,41.0,24.068599700927734,22.33799934387207,0.6645999550819397,1.0,0.6656283333333334,1.0
moving_toxins,fixed_motor_argmax,44,0.0,480,10000,-12.581899642944336,17.0,22.671998977661133,35.25389862060547,0.04019999876618385,0.07495333333333333,0.3112825758249578,0.07611149739583334
moving_toxins,base_adapter,44,0.0,480,10000,1.7264999151229858,30.0,21.226598739624023,19.500099182128906,0.6884999871253967,1.0,0.654648125,1.0
moving_toxins,augmented_adapter,44,0.0,480,10000,1.7768999338150024,31.0,18.416898727416992,16.639999389648438,0.7042999863624573,1.0,0.6785860416666667,1.0
moving_toxins,fixed_motor_argmax,45,0.0,480,10000,-11.652299880981445,15.0,25.330299377441406,36.98259735107422,0.061400000005960464,0.06996479166666666,0.3358117624638583,0.07092122395833333
moving_toxins,base_adapter,45,0.0,480,10000,0.7371000051498413,39.0,24.691200256347656,23.954099655151367,0.5935999751091003,1.0,0.65977,1.0
moving_toxins,augmented_adapter,45,0.0,480,10000,1.2760999202728271,49.0,24.910398483276367,23.634300231933594,0.6371999979019165,1.0,0.6742083333333333,1.0
moving_toxins,fixed_motor_argmax,46,0.0,480,10000,-7.092700004577637,22.0,34.6077995300293,41.70050048828125,0.1964000016450882,0.07372583333333334,0.3276723446100982,0.07485682942708333
moving_toxins,base_adapter,46,0.0,480,10000,1.688599944114685,37.0,25.698999404907227,24.010398864746094,0.6560999751091003,1.0,0.6560720833333333,1.0
moving_toxins,augmented_adapter,46,0.0,480,10000,2.113100051879883,47.0,29.95309829711914,27.84000015258789,0.675599992275238,1.0,0.6649241666666666,1.0
moving_toxins,fixed_motor_argmax,47,0.0,480,10000,-6.8877997398376465,20.0,30.644899368286133,37.53269958496094,0.1858000010251999,0.07488895833333334,0.3231645742168266,0.07594948567708333
moving_toxins,base_adapter,47,0.0,480,10000,2.0399999618530273,35.0,25.378799438476562,23.33879852294922,0.6703000068664551,1.0,0.6557179166666667,1.0
moving_toxins,augmented_adapter,47,0.0,480,10000,1.8621999025344849,39.0,24.40489959716797,22.542699813842773,0.6811000108718872,1.0,0.676438125,1.0
moving_toxins,fixed_motor_argmax,43,0.05,480,10000,-9.198999404907227,12.0,17.80739974975586,27.006399154663086,0.07409999519586563,0.06333354166666667,0.32262064927418,0.06417095052083334
moving_toxins,base_adapter,43,0.05,480,10000,1.4844999313354492,39.0,26.686199188232422,25.20170021057129,0.6439999938011169,1.0,0.6271741666666667,1.0
moving_toxins,augmented_adapter,43,0.05,480,10000,2.4900999069213867,36.0,32.39649963378906,29.90639877319336,0.684499979019165,1.0,0.64548375,1.0
moving_toxins,fixed_motor_argmax,44,0.05,480,10000,-8.352899551391602,18.0,26.77229881286621,35.12519836425781,0.1354999989271164,0.07121395833333333,0.3246876343881554,0.072104453125
moving_toxins,base_adapter,44,0.05,480,10000,1.0698000192642212,31.0,25.136098861694336,24.066299438476562,0.6205999851226807,1.0,0.635781875,1.0
moving_toxins,augmented_adapter,44,0.05,480,10000,2.1556999683380127,37.0,27.760799407958984,25.605098724365234,0.6839999556541443,1.0,0.6485297916666667,1.0
