world,group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
simple,gentle_ltw_scheduled,32,20,256,42,105,16.0,21.0,16.0,0.3084000051021576,0.3084000051021576,72.768798828125,0.2842531204223633,0.2198744552289632,56.38859939575195,0.774443507194519,0.11316252499818802,9106,8332,4889,363457
simple,gentle_ltw_scheduled,32,20,256,42,106,18.0,21.0,18.0,-0.5715000033378601,-0.5715000033378601,72.81269836425781,0.2844246029853821,0.24720962695204568,56.47099685668945,0.7751138210296631,0.1126529723405838,9250,8241,4908,363559
simple,gentle_ltw_scheduled,32,20,256,42,107,16.0,21.0,16.0,0.25859999656677246,0.25859999656677246,72.96920013427734,0.2850359380245209,0.21927059595770443,56.5911979675293,0.7750635743141174,0.11234088987112045,9516,8340,4863,364258
simple,gentle_ltw_scheduled,32,20,256,42,108,16.0,21.0,16.0,-0.07159999758005142,-0.07159999758005142,73.04519653320312,0.2853327989578247,0.219042466299986,56.64690017700195,0.7750138640403748,0.11227216571569443,9079,8465,4973,364919
simple,gentle_ltw_scheduled,32,20,256,42,109,18.0,21.0,18.0,-0.08720000088214874,-0.08720000088214874,73.10679626464844,0.28557342290878296,0.24621513894330083,56.71220016479492,0.775252103805542,0.11195060610771179,9326,8472,4889,365107
simple,gentle_ltw_scheduled,32,20,256,42,110,19.0,21.0,19.0,0.07989999651908875,0.07989999651908875,73.18059539794922,0.28586170077323914,0.2596316673385859,56.78439712524414,0.7754591107368469,0.11123831570148468,9240,8510,5092,365538
simple,gentle_ltw_scheduled,32,20,256,42,111,19.0,21.0,19.0,-0.25929999351501465,-0.25929999351501465,73.30690002441406,0.28635507822036743,0.25918433317562545,56.94059753417969,0.7762652039527893,0.11082462221384048,9189,8306,4900,366093
simple,gentle_ltw_scheduled,32,20,256,42,112,17.0,21.0,17.0,-0.4520999789237976,-0.4520999789237976,73.4292984008789,0.2868331968784332,0.231515217634117,57.02239990234375,0.7761163115501404,0.11037731915712357,9094,8529,5100,366864
simple,gentle_ltw_scheduled,32,20,256,42,113,15.0,21.0,15.0,-0.8698999881744385,-0.8698999881744385,73.64089965820312,0.28765976428985596,0.20369115626806572,57.20139694213867,0.7763310074806213,0.10993378609418869,9264,8581,4959,367863
simple,gentle_ltw_scheduled,32,20,256,42,114,16.0,21.0,16.0,0.23539999127388,0.23539999127388,73.70659637451172,0.2879163920879364,0.21707690745482472,57.25959777832031,0.7764045596122742,0.10992638766765594,9129,8587,5019,368262
